"filename", "language", "PLSQL", "XML", "C#", "JSON", "Properties", "JSON with Comments", "Markdown", "SCSS", "HTML", "TypeScript", "comment", "blank", "total"
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-list\ship-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 6, 8, 48
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-list\ship-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 7, 7, 67
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-list\ship-list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-list\ship-list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 10, 72
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-speed-chart\ship-speed-chart.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-speed-chart\ship-speed-chart.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-speed-chart\ship-speed-chart.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship-speed-chart\ship-speed-chart.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 5, 44
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship.model.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ship.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 1, 9, 39
"d:\Jobs\NAPA group\frontend\maritime-app\src\app\features\ships\ships.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\Jobs\NAPA group\frontend\maritime-app\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"d:\Jobs\NAPA group\frontend\maritime-app\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"d:\Jobs\NAPA group\frontend\maritime-app\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 5
"d:\Jobs\NAPA group\frontend\maritime-app\tsconfig.app.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 1, 16
"d:\Jobs\NAPA group\frontend\maritime-app\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 1, 28
"d:\Jobs\NAPA group\frontend\maritime-app\tsconfig.spec.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 1, 16
"Total", "-", 376, 185, 650, 25619, 82, 25, 36, 83, 107, 433, 198, 407, 28201
